symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU6,-2,0,0.25,631159020038,631159020008,2,29330.00,29334.00,$16.00,08/21/2026 16:06:33,08/21/2026 15:51:03,15min 29sec
MNQU6,-2,0,0.25,631159020050,631159020078,1,29320.00,29277.00,$(86.00),08/21/2026 16:09:45,08/21/2026 16:13:23,3min 38sec
MNQU6,-2,0,0.25,631159020119,631159020087,2,29287.25,29261.00,$(105.00),08/21/2026 16:26:27,08/21/2026 16:14:23,12min 3sec
MNQU6,-2,0,0.25,631159020128,631159020170,2,29294.00,29335.25,$165.00,08/21/2026 16:26:36,08/21/2026 17:03:03,36min 26sec
MNQU6,-2,0,0.25,631159020128,631159020189,1,29294.00,29360.50,$133.00,08/21/2026 16:26:36,08/21/2026 17:04:40,38min 4sec
MNQU6,-2,0,0.25,631159020227,631159020206,2,29005.25,28959.75,$(182.00),08/24/2026 16:16:09,08/24/2026 16:12:21,3min 47sec
MNQU6,-2,0,0.25,631159020250,631159020260,2,28993.25,29080.75,$350.00,08/24/2026 16:17:09,08/24/2026 16:34:50,17min 40sec
MNQU6,-2,0,0.25,631159020250,631159020275,2,28993.25,29072.25,$316.00,08/24/2026 16:17:09,08/24/2026 17:13:07,55min 58sec
MNQU6,-2,0,0.25,631159020298,631159020309,4,29658.00,29657.50,$(4.00),09/04/2026 15:54:31,09/04/2026 15:55:16,45sec
MNQU6,-2,0,0.25,631159020326,631159020355,4,29662.25,29663.00,$6.00,09/04/2026 15:55:36,09/04/2026 16:01:31,5min 54sec
MNQU6,-2,0,0.25,631159020388,631159020372,2,29662.25,29669.00,$27.00,09/04/2026 16:07:42,09/04/2026 16:07:01,41sec
MNQU6,-2,0,0.25,631159020402,631159020396,2,29625.75,29608.50,$(69.00),09/04/2026 16:14:08,09/04/2026 16:12:13,1min 54sec
MNQU6,-2,0,0.25,631159020402,631159020419,2,29625.75,29640.00,$57.00,09/04/2026 16:14:08,09/04/2026 16:15:12,1min 4sec
MNQU6,-2,0,0.25,631159020416,631159020419,2,29651.00,29640.00,$(44.00),09/04/2026 16:14:53,09/04/2026 16:15:12,19sec
MNQU6,-2,0,0.25,631159020416,631159020441,2,29651.00,29623.25,$(111.00),09/04/2026 16:14:53,09/04/2026 16:16:50,1min 56sec
MNQU6,-2,0,0.25,631159020432,631159020462,2,29632.00,29603.75,$(113.00),09/04/2026 16:16:34,09/04/2026 16:20:04,3min 30sec
MNQU6,-2,0,0.25,631159020470,631159020477,3,29601.50,29595.00,$(39.00),09/04/2026 16:25:28,09/04/2026 16:25:33,5sec
MNQU6,-2,0,0.25,631159020533,631159020496,3,29479.75,29620.25,$843.00,09/08/2026 15:44:39,09/08/2026 15:32:23,12min 16sec
MNQU6,-2,0,0.25,631159020549,631159020557,4,29121.25,29099.50,$(174.00),09/10/2026 15:36:25,09/10/2026 15:56:14,19min 49sec
MNQU6,-2,0,0.25,631159020571,631159020565,4,29105.00,29098.25,$(54.00),09/10/2026 15:56:32,09/10/2026 15:56:25,7sec
